County_name,TotalHousing16,Owners16,renters16,Name,STCO,CSA,CSA_name
Falls Church,5709,3162,2139,"Falls Church city, Virginia",51610,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Fredericksburg,11387,3575,6696,"Fredericksburg city, Virginia",51630,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Manassas,13385,7727,4703,"Manassas city, Virginia",51683,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Manassas Park,4892,3112,1618,"Manassas Park city, Virginia",51685,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Winchester,11908,4822,5774,"Winchester city, Virginia",51840,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Island,40711,22416,10972,"Island County, Washington",53029,500,"Seattle-Tacoma, WA"
King,882655,476551,355444,"King County, Washington",53033,500,"Seattle-Tacoma, WA"
Kitsap,109217,66181,32069,"Kitsap County, Washington",53035,500,"Seattle-Tacoma, WA"
Lewis,34113,20058,9368,"Lewis County, Washington",53041,500,"Seattle-Tacoma, WA"
Mason,32617,17304,5150,"Mason County, Washington",53045,500,"Seattle-Tacoma, WA"
Pierce,333541,186670,120436,"Pierce County, Washington",53053,500,"Seattle-Tacoma, WA"
Skagit,52058,31134,14974,"Skagit County, Washington",53057,500,"Seattle-Tacoma, WA"
Snohomish,297178,184237,94389,"Snohomish County, Washington",53061,500,"Seattle-Tacoma, WA"
Thurston,111716,66018,37450,"Thurston County, Washington",53067,500,"Seattle-Tacoma, WA"
Berkeley,46312,30646,11074,"Berkeley County, West Virginia",54003,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Hampshire,13785,5938,4039,"Hampshire County, West Virginia",54027,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Jefferson,22573,15324,5310,"Jefferson County, West Virginia",54037,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Kenosha,69627,41316,21678,"Kenosha County, Wisconsin",55059,176,"Chicago-Naperville, IL-IN-WI"
Pierce,16293,11044,4057,"Pierce County, Wisconsin",55093,378,"Minneapolis-St. Paul, MN-WI"
St. Croix,34695,24830,7981,"St. Croix County, Wisconsin",55109,378,"Minneapolis-St. Paul, MN-WI"
