County_name,TotalHousing10,Owners10,renters10,Name,STCO,CSA,CSA_name
Mason,31527,17632,4176,"Mason County, Washington",53045,500,"Seattle-Tacoma, WA"
Pierce,320424,187140,108414,"Pierce County, Washington",53053,500,"Seattle-Tacoma, WA"
Skagit,50393,31709,13544,"Skagit County, Washington",53057,500,"Seattle-Tacoma, WA"
Snohomish,281161,179763,84168,"Snohomish County, Washington",53061,500,"Seattle-Tacoma, WA"
Thurston,104751,66350,32141,"Thurston County, Washington",53067,500,"Seattle-Tacoma, WA"
Berkeley,43469,29297,9433,"Berkeley County, West Virginia",54003,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Hampshire,13339,6594,3161,"Hampshire County, West Virginia",54027,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Jefferson,21608,14903,4261,"Jefferson County, West Virginia",54037,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
Kenosha,68650,42294,19932,"Kenosha County, Wisconsin",55059,176,"Chicago-Naperville, IL-IN-WI"
Pierce,15928,11361,3456,"Pierce County, Wisconsin",55093,378,"Minneapolis-St. Paul, MN-WI"
St. Croix,33495,24771,7053,"St. Croix County, Wisconsin",55109,378,"Minneapolis-St. Paul, MN-WI"
Austin,12469,8093,2354,"Austin County, Texas",48015,288,"Houston-The Woodlands, TX"
Brazoria,114533,77062,24594,"Brazoria County, Texas",48039,288,"Houston-The Woodlands, TX"
Chambers,12883,9554,1526,"Chambers County, Texas",48071,288,"Houston-The Woodlands, TX"
Collin,287263,189724,78318,"Collin County, Texas",48085,206,"Dallas-Fort Worth, TX-OK"
Cooke,16406,10228,4319,"Cooke County, Texas",48097,206,"Dallas-Fort Worth, TX-OK"
Dallas,932072,454958,377402,"Dallas County, Texas",48113,206,"Dallas-Fort Worth, TX-OK"
Denton,242641,148766,76074,"Denton County, Texas",48121,206,"Dallas-Fort Worth, TX-OK"
Ellis,52436,36986,11517,"Ellis County, Texas",48139,206,"Dallas-Fort Worth, TX-OK"
Fort Bend,178626,135409,32211,"Fort Bend County, Texas",48157,288,"Houston-The Woodlands, TX"
Galveston,130158,74086,32531,"Galveston County, Texas",48167,288,"Houston-The Woodlands, TX"
Grayson,53103,32076,13469,"Grayson County, Texas",48181,206,"Dallas-Fort Worth, TX-OK"
